"","V1"
"1786",5.09890221189606e-12
"7264",6.87814964321669e-12
"2769",1.75096067119011e-11
"6283",5.40665699912148e-11
"387695",8.37904873595558e-11
"57016",1.01917125223749e-10
"5266",1.82528657659147e-10
"79155",1.85823815494232e-10
"7378",2.41597072653616e-10
"338324",4.75632025209091e-10
