"","V1"
"4321",8.46395364273609e-07
"55509",1.3019025593055e-05
"100506776",3.39335520025562e-05
"4826",3.9064585938689e-05
"4329",5.39950352453457e-05
"158830",5.7394979367302e-05
"64761",6.22506658787871e-05
"55619",6.57385952187849e-05
"355",7.19365643963854e-05
"1200",7.53684433938086e-05
