"","V1"
"2210",1.77569932715226e-09
"4312",2.34616171831274e-09
"10288",3.09585707409653e-09
"3002",5.73808458029822e-09
"5552",9.01479803347171e-09
"57016",1.25527084742575e-08
"5265",1.42832385573419e-08
"1890",1.89710426648038e-08
"3868",3.3471281222451e-08
"6702",3.5983519253582e-08
